QA_No,Question,Answer
21,無單據報銷如何操作?,"無單據報銷的公佈函： [點我查看公佈
函](https://www.dropbox.com/scl/fi/nufcd4kqxf4l4425e3ic9/.pdf?rlkey=edjmia1oqe9noqrgdmiaruthx&st=6egudzp7&dl=0)。
- 無單據報銷的 OA 操作畫面： [點我查看 OA 操作畫
面](https://www.dropbox.com/scl/fi/n6h39k47nmoehxgfxhkv1/.png?rlkey=kwvph6xp9pkjlsv833otjhn83&st=jaie07pp&dl=0)"
22,非標準行程計程車資如何報支?,"出差以非標準行程報支計程車資，可至企業內制式表單下載或[短程出差車費
報銷單-制度表單
櫃](https://www.dropbox.com/scl/fi/cuyofcwijue5nabfa3t3d/.doc?rlkey=1i4t5d25hq7rvqxo6nohekfnv&st=s112pl0n&dl=0)。"
23,到麥寮廠區出差，可以搭乘高鐵嗎?,"出差前建議優先搭乘交通車，除非交通車客滿才能選擇其他方式。
若因交通車客滿，需提供客滿證明文件，方可改搭火車或高鐵前往。
- 如搭乘**高鐵**需經營主管核准。
- 如搭乘**火車**則由一級主管核准"
24,旅費五大項目中，哪些需要收據或憑證?,"1.住宿費：需要憑證，並依實際金額或上限金額報支。如無憑證則按標準金額的七折報支。
2.交通費（如高鐵、火車、飛機）：需要憑證並以實際票價報支。如無憑證，高鐵按標準車廂票價的 53 折，火車按自強號票價報支。
3.膳費：不需要憑證，按公司規定標準報支。
4.雜費：不需要憑證，按出差時間計算標準報支。
5.計程車費：不需要憑證，按公司標準金額報支。單筆金額超過 700 元則需主管核准。"
25,出差提前一晚出發，報銷單需要呈給經營主管核簽嗎?,"若是搭乘高鐵則需要。
根據「報銷單核准權限」，提早出差且搭乘高鐵前往需，報銷單要經營主管核簽。"
26,彰濱廠有招待所嗎?可以選擇特約旅館嗎?,彰濱廠應優先入住彰化廠招待所。彰濱出差應以彰化招待所安排住宿，並搭乘彰化廠區至彰濱廠的接駁交通車，以節省開支。若招待所客滿，方可自由選擇特約旅館或其他旅館。
27,麥寮廠可以提前一天入住嗎?,可以提前一天入住，但需說明原因並呈經營主管核准。
28,計程車費計算的詳細規則是什麼？,"1.計程車費不需要提供憑證（如收據）
2.金額上限：單筆超過 700 元需主管核准，不得超過所屬廠區的標準交通費上限。
3.共乘規定：非單獨出差應共乘，住處至搭車點不受限制。
4.夜間加成：11:00 PM 至 6:00 AM 計夜間加成。
5.標準計程車費：依據《計程車費報支標準表》中列明的起訖點金額計算。"
29,出差報銷時，發票或收據需要注意哪些事項？,"1.買受人資訊：發票及收據需填寫公司統編（75370905）。
2.憑證別：正確選擇憑證別（如統一發票、電子發票等）。
3.資料一致：憑證號碼、金額（含稅額）需與發票內容一致。
4.附件處理：使用單據黏貼單妥善附上所有憑證。
5.核對行程：發票與報銷單的行程和費用需一致。"
30,提交報銷單給會計前有哪些檢查項目？,"1.憑證一致性：確認憑證的廠商、號碼、金額與報銷單資料一致。
2.公司統編：檢查憑證是否填寫公司統編（75370905），憑證別輸入正確。
3.行程及核准：非標準行程需逐項填寫並經核決權限核准。
4.膳雜費規定：確認膳費和雜費是否符合公司標準，經辦人已簽名。
5.無單據處理：無發票、車票或收據的項目，需以 OA 系統傳簽處理。
6.避免重複：檢查是否有重複印單或申請，防止重複報銷。"
31,出差地點為台北到嘉義，是否可以使用台北到台中的車票申請報銷？,根據出差報支規定，報銷需依實際行程及票據申請，文件中未提及台北到嘉義可使用台北到台中的車票報銷。如有特殊情況，請洽審核人員確認。
32,從內湖大樓到工三廠，可以選擇那些交通工具?,內湖大樓到工三廠周邊廠區，應優先選擇汎航客運前往。
33,從內湖到南港車站的計程車費用能報支多少？,內湖大樓到最近的南港高鐵站計程車費 160 元
34,內湖大樓到麥寮廠搭火車有憑證的報支標準?,"報支路線及費用
起點	終點	交通方式	費用
內湖大樓	松山車站	計程車	145 元
松山車站	斗六車站	自強號	542 元
斗六車站	麥寮廠區	計程車	700 元
總金額：1,387 元"
35,在出差時可以使用Uber嗎？,可以使用 Uber 作為計程車。
36,在內湖大樓上班的同仁，早上 8:00 到下午 17:00 出差。膳費可申請多少？,260元。早餐費(100)和午餐費(160)。
37,早上 11:30 到 14:00 出差。膳費可申請多少？,不可申請膳費，出差時間超過 3 小時才可報支膳費。
38,出差地點為台北到嘉義，可以使用台北到高雄的車票報銷嗎？,"報銷交通費的憑證金額不得超過出差地點之費用。
- 舉例：若出差起訖點為**台北到嘉義**，則不可以**台北到高雄**之票價全額報支，但可依
對等票種艙等扣除嘉義到高雄段車資。"
39,從內湖大樓到板橋車站，交通費和計程車如何計算?,"搭乘火車：
最近車站為松山車站：
 - 內湖大樓到松山車站計程車費：145 元
 - 松山車站到板橋車站火車票：31 元 
合併計程車及火車報支金額：176 元"
40,從內湖大樓到麥寮出差，搭乘高鐵且有憑證，交通費可以申請多少？詳細列出。,"路線：內湖大樓 → 南港車站 → 雲林高鐵站 → 麥寮廠區

| 起點         | 終點         | 交通方式         | 費用   |
|--------------|--------------|------------------|--------|
| 內湖大樓     | 南港車站     | 計程車           | 160元  |
| 南港車站     | 雲林高鐵站   | 高鐵             | 970元 (請參考實際票價)  |
| 雲林高鐵站   | 麥寮廠區     | 計程車           | 650元  |

- 總金額：1,780元
- 核准人員：經營主管"
